epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.5954,0.68311,0.90571,0.88991,0.94719,0.78488,0.86397,0.72596,0.58739,0.52043,0.85298,0.000662857,0.000662857,0.000662857
2,31.6511,0.65065,0.45871,0.86813,0.96174,0.81477,0.89167,0.75014,0.55799,0.40062,0.84688,0.00131636,0.00131636,0.00131636
3,46.3749,0.65386,0.45734,0.86838,0.9717,0.83479,0.90838,0.75507,0.56761,0.38104,0.84869,0.00195667,0.00195667,0.00195667
4,61.0973,0.64061,0.428,0.8647,0.96508,0.85251,0.90839,0.76276,0.55146,0.3797,0.84683,0.0019406,0.0019406,0.0019406
5,75.43,0.62136,0.40678,0.86329,0.95584,0.82658,0.90191,0.75908,0.54373,0.39857,0.84271,0.0019208,0.0019208,0.0019208
6,90.1727,0.61352,0.39929,0.85824,0.92585,0.85089,0.90366,0.77158,0.5355,0.36031,0.84193,0.001901,0.001901,0.001901
7,105.089,0.60765,0.39422,0.85703,0.9661,0.84765,0.91344,0.78717,0.51791,0.33501,0.83854,0.0018812,0.0018812,0.0018812
8,120.117,0.59689,0.38189,0.85622,0.97015,0.84277,0.91329,0.77684,0.54587,0.32995,0.84371,0.0018614,0.0018614,0.0018614
9,135.073,0.60019,0.37675,0.85445,0.95472,0.85437,0.91587,0.79215,0.51438,0.31154,0.83551,0.0018416,0.0018416,0.0018416
10,150.154,0.5835,0.36911,0.85131,0.9757,0.84615,0.91974,0.78936,0.52029,0.30693,0.83857,0.0018218,0.0018218,0.0018218
11,165.236,0.57634,0.35901,0.84985,0.97398,0.83468,0.91458,0.7901,0.50636,0.31222,0.83654,0.001802,0.001802,0.001802
12,179.844,0.57364,0.36179,0.84703,0.94954,0.85413,0.91156,0.78453,0.53622,0.33311,0.83942,0.0017822,0.0017822,0.0017822
