epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.2024,0.68628,1.04227,0.81277,0.88421,0.96077,0.81037,0.89078,0.73978,0.95768,0.80713,0.88339,0.70229,0.56914,0.8691,0.44788,0.84582,0.000662857,0.000662857,0.000662857
2,57.9657,0.66148,0.90708,0.479,0.86923,0.95217,0.81361,0.88931,0.72637,0.95993,0.80551,0.89249,0.68508,0.61131,0.94104,0.50588,0.86136,0.00131636,0.00131636,0.00131636
3,85.411,0.67273,0.9252,0.47549,0.87269,0.93024,0.82126,0.87909,0.71039,0.92731,0.83306,0.88799,0.71104,0.65359,0.89211,0.46545,0.867,0.00195667,0.00195667,0.00195667
4,112.827,0.65434,0.88909,0.44921,0.86723,0.94482,0.8282,0.89654,0.74297,0.94018,0.83144,0.89454,0.70989,0.58295,0.78108,0.43118,0.85495,0.0019406,0.0019406,0.0019406
5,151.189,0.63176,0.8365,0.42157,0.86233,0.95726,0.8349,0.90133,0.75443,0.96098,0.83815,0.90473,0.73136,0.55749,0.76192,0.37294,0.84439,0.0019208,0.0019208,0.0019208
6,182.692,0.62116,0.83397,0.41279,0.85755,0.95124,0.85369,0.90432,0.7636,0.94577,0.84794,0.90336,0.73234,0.54287,0.72768,0.35452,0.84391,0.001901,0.001901,0.001901
7,212.642,0.60954,0.8161,0.40302,0.85544,0.95797,0.85089,0.90912,0.77763,0.96354,0.84441,0.91163,0.7581,0.52801,0.69066,0.33636,0.83534,0.0018812,0.0018812,0.0018812
8,242.504,0.60168,0.80327,0.39263,0.85489,0.93434,0.859,0.90262,0.7494,0.93399,0.84845,0.89703,0.71932,0.59885,0.75624,0.39767,0.84872,0.0018614,0.0018614,0.0018614
9,270.962,0.60066,0.78398,0.38707,0.85278,0.93645,0.85972,0.91551,0.7874,0.93844,0.86476,0.907,0.74328,0.50536,0.71212,0.32561,0.83473,0.0018416,0.0018416,0.0018416
10,301.018,0.58311,0.77102,0.37665,0.84921,0.96716,0.859,0.91545,0.78234,0.96746,0.859,0.91246,0.76229,0.5268,0.72718,0.32541,0.83543,0.0018218,0.0018218,0.0018218
11,329.258,0.58022,0.77317,0.36674,0.84786,0.95626,0.85039,0.91673,0.77821,0.95879,0.84441,0.91074,0.73978,0.53976,0.69392,0.3382,0.83351,0.001802,0.001802,0.001802
12,357.661,0.57267,0.74067,0.36774,0.84473,0.97281,0.86984,0.92321,0.79861,0.96871,0.86386,0.9176,0.76895,0.50389,0.67888,0.3138,0.82934,0.0017822,0.0017822,0.0017822
13,386.817,0.563,0.7421,0.35881,0.84215,0.95863,0.86384,0.92372,0.79137,0.95862,0.86361,0.93004,0.78429,0.51754,0.72344,0.30958,0.82988,0.0017624,0.0017624,0.0017624
14,415.611,0.56038,0.73329,0.35288,0.83965,0.9486,0.88331,0.92457,0.79312,0.95119,0.86224,0.91269,0.7634,0.50382,0.67448,0.30683,0.83106,0.0017426,0.0017426,0.0017426
15,443.503,0.55704,0.72875,0.35287,0.84045,0.96241,0.87135,0.92513,0.79632,0.96062,0.86989,0.92252,0.77389,0.49828,0.67136,0.30756,0.83046,0.0017228,0.0017228,0.0017228
16,472.032,0.5539,0.71131,0.34486,0.84027,0.98159,0.86433,0.93065,0.81116,0.98159,0.86433,0.93618,0.80691,0.49545,0.66445,0.30231,0.82854,0.001703,0.001703,0.001703
17,501.523,0.55791,0.7258,0.34533,0.84124,0.97455,0.86902,0.93398,0.81459,0.97079,0.8618,0.93245,0.78994,0.4787,0.64852,0.28454,0.82484,0.0016832,0.0016832,0.0016832
18,534.363,0.54574,0.70777,0.3383,0.83888,0.98325,0.85633,0.93227,0.80677,0.97767,0.85146,0.92422,0.78669,0.4921,0.64238,0.294,0.82721,0.0016634,0.0016634,0.0016634
19,565.228,0.53909,0.69722,0.33525,0.83716,0.96401,0.86833,0.92903,0.79741,0.97501,0.85575,0.932,0.79705,0.5182,0.62919,0.29922,0.82847,0.0016436,0.0016436,0.0016436
20,595.857,0.55014,0.70989,0.33693,0.8381,0.97156,0.88587,0.93164,0.808,0.96779,0.87646,0.93281,0.807,0.50717,0.67269,0.29231,0.82622,0.0016238,0.0016238,0.0016238
21,624.253,0.54485,0.722,0.33765,0.84001,0.98339,0.86375,0.92717,0.81119,0.98229,0.86386,0.93448,0.8,0.48621,0.67414,0.28761,0.82222,0.001604,0.001604,0.001604
22,654.802,0.5384,0.69922,0.3312,0.83691,0.96123,0.8752,0.92685,0.80226,0.96245,0.8724,0.92814,0.78176,0.50304,0.66008,0.29912,0.8253,0.0015842,0.0015842,0.0015842
23,682.222,0.53891,0.69744,0.33261,0.83638,0.96781,0.8772,0.93157,0.81118,0.9704,0.87196,0.92075,0.75851,0.47011,0.67289,0.28343,0.82147,0.0015644,0.0015644,0.0015644
24,709.829,0.5374,0.69509,0.32681,0.83518,0.96799,0.88229,0.93046,0.80996,0.96618,0.87964,0.92222,0.76454,0.46422,0.65695,0.28819,0.8211,0.0015446,0.0015446,0.0015446
25,738.686,0.52745,0.69365,0.32441,0.83443,0.97037,0.86872,0.92889,0.81023,0.97068,0.86062,0.92316,0.77261,0.47423,0.66596,0.29424,0.8248,0.0015248,0.0015248,0.0015248
26,767.908,0.52717,0.68155,0.32111,0.83333,0.98256,0.87034,0.9336,0.81989,0.98071,0.86548,0.93172,0.79484,0.46948,0.63825,0.27879,0.8223,0.001505,0.001505,0.001505
27,795.519,0.52698,0.67775,0.3171,0.83215,0.97146,0.88284,0.93216,0.81184,0.97323,0.88371,0.9275,0.77908,0.49024,0.65442,0.28139,0.82586,0.0014852,0.0014852,0.0014852
28,823.241,0.5251,0.66832,0.31792,0.83177,0.9665,0.88837,0.93428,0.81817,0.9665,0.88837,0.93044,0.78705,0.47981,0.62414,0.27716,0.82322,0.0014654,0.0014654,0.0014654
29,864.455,0.51819,0.66052,0.31296,0.83179,0.9799,0.87682,0.93431,0.81648,0.97872,0.8752,0.93595,0.78982,0.47027,0.62205,0.27633,0.82391,0.0014456,0.0014456,0.0014456
30,905.592,0.51834,0.66485,0.31236,0.83078,0.97236,0.87682,0.93633,0.81527,0.97236,0.87682,0.93076,0.79009,0.47266,0.63495,0.27751,0.82206,0.0014258,0.0014258,0.0014258
31,935.689,0.51924,0.67453,0.31264,0.83084,0.96484,0.89141,0.94097,0.81999,0.96164,0.88331,0.9356,0.79423,0.47182,0.6406,0.27145,0.82071,0.001406,0.001406,0.001406
32,965.178,0.5107,0.66158,0.30828,0.82936,0.98897,0.87179,0.94268,0.81832,0.98613,0.86386,0.93417,0.79642,0.46602,0.63772,0.26069,0.82143,0.0013862,0.0013862,0.0013862
33,992.818,0.51155,0.65724,0.30676,0.83123,0.985,0.87358,0.93961,0.82418,0.97082,0.88655,0.94388,0.82055,0.46581,0.63533,0.26167,0.82072,0.0013664,0.0013664,0.0013664
34,1032.27,0.51183,0.66155,0.30868,0.83115,0.97291,0.87324,0.93709,0.81525,0.97653,0.87648,0.93537,0.80392,0.47784,0.61695,0.27219,0.82179,0.0013466,0.0013466,0.0013466
35,1067.61,0.50892,0.65384,0.30219,0.8294,0.96494,0.88331,0.9308,0.81213,0.96955,0.87728,0.92663,0.79201,0.47017,0.65225,0.27183,0.82202,0.0013268,0.0013268,0.0013268
36,1098.38,0.5089,0.65323,0.30174,0.82926,0.97833,0.87815,0.93745,0.82345,0.96579,0.88493,0.94033,0.81633,0.46695,0.63012,0.25616,0.82082,0.001307,0.001307,0.001307
37,1127.62,0.5072,0.65758,0.29845,0.82795,0.96611,0.88979,0.93757,0.81553,0.96872,0.88493,0.93082,0.78335,0.46929,0.63686,0.2727,0.82252,0.0012872,0.0012872,0.0012872
38,1157.32,0.50992,0.6581,0.30163,0.83095,0.9515,0.90113,0.93708,0.81689,0.97225,0.88169,0.93754,0.79199,0.46673,0.63125,0.25677,0.82168,0.0012674,0.0012674,0.0012674
39,1187.08,0.50004,0.64967,0.29784,0.82798,0.97197,0.89931,0.93746,0.81724,0.97528,0.87844,0.93101,0.77715,0.46859,0.65515,0.25931,0.82082,0.0012476,0.0012476,0.0012476
40,1218.05,0.49964,0.64858,0.2985,0.82868,0.97687,0.88991,0.93745,0.81392,0.97331,0.88667,0.93477,0.77615,0.46201,0.61786,0.26254,0.81895,0.0012278,0.0012278,0.0012278
41,1247.61,0.50642,0.66801,0.29998,0.8264,0.96817,0.88742,0.94377,0.82817,0.9828,0.88655,0.94193,0.80901,0.45691,0.62361,0.25085,0.81742,0.001208,0.001208,0.001208
42,1277.11,0.49857,0.64789,0.29567,0.82645,0.97144,0.88979,0.94226,0.82666,0.96734,0.88493,0.93513,0.80646,0.45981,0.61228,0.25588,0.81828,0.0011882,0.0011882,0.0011882
43,1306,0.50637,0.65091,0.29866,0.82629,0.95817,0.89141,0.942,0.82382,0.96901,0.8752,0.93572,0.79038,0.45824,0.64391,0.25888,0.819,0.0011684,0.0011684,0.0011684
44,1335.56,0.4946,0.6376,0.29455,0.82524,0.96954,0.87712,0.93723,0.82151,0.97314,0.88083,0.93574,0.79035,0.45838,0.61999,0.25706,0.81889,0.0011486,0.0011486,0.0011486
45,1364.99,0.49375,0.64965,0.29252,0.82454,0.98101,0.88006,0.94006,0.82498,0.98496,0.88169,0.94215,0.80841,0.4815,0.63364,0.25817,0.82167,0.0011288,0.0011288,0.0011288
46,1393.77,0.48653,0.62811,0.28843,0.82719,0.97128,0.87706,0.93868,0.82692,0.97854,0.88331,0.94052,0.80858,0.45466,0.63703,0.25048,0.81857,0.001109,0.001109,0.001109
47,1422.53,0.48331,0.62038,0.28582,0.82133,0.96966,0.88045,0.94175,0.82298,0.96966,0.88045,0.93492,0.79097,0.45232,0.61977,0.25412,0.81813,0.0010892,0.0010892,0.0010892
48,1451.69,0.48535,0.61781,0.28429,0.82347,0.97841,0.88169,0.94591,0.8328,0.97811,0.87358,0.9381,0.81073,0.44376,0.61515,0.24317,0.81747,0.0010694,0.0010694,0.0010694
49,1480.49,0.48465,0.6314,0.28406,0.82503,0.96521,0.90276,0.94495,0.83158,0.97505,0.89465,0.94716,0.82107,0.44703,0.60797,0.24198,0.81764,0.0010496,0.0010496,0.0010496
50,1508.97,0.48218,0.62463,0.28373,0.82194,0.95675,0.89627,0.94025,0.83256,0.97871,0.88006,0.94294,0.81412,0.44675,0.61217,0.24277,0.81631,0.0010298,0.0010298,0.0010298
51,1536.98,0.48713,0.62633,0.28157,0.82286,0.96854,0.89819,0.94164,0.82622,0.97066,0.89465,0.94294,0.79948,0.45222,0.62416,0.24864,0.81949,0.00101,0.00101,0.00101
52,1566.63,0.47422,0.60628,0.27705,0.82182,0.97856,0.88762,0.94147,0.83005,0.97278,0.88979,0.93807,0.79977,0.44862,0.6137,0.24709,0.81574,0.0009902,0.0009902,0.0009902
53,1596.23,0.48648,0.62766,0.28119,0.82356,0.97401,0.89627,0.94135,0.82617,0.97087,0.89303,0.94048,0.8072,0.46701,0.63833,0.24302,0.81852,0.0009704,0.0009704,0.0009704
54,1626.32,0.47204,0.60049,0.27464,0.82118,0.97449,0.88817,0.94301,0.83615,0.97338,0.88885,0.94371,0.81832,0.44432,0.61252,0.24032,0.81585,0.0009506,0.0009506,0.0009506
